sentence,nouns,adjectives
뭔가 편의성을 높이려고 통합어플 설치 권유하는건 이해하겠는데 기존메뉴 없애버리는건 차치하고 없앨거면 검색했을때 기존어플에서 사용가능하다는 안내정도라도 해서 알려줘야하는거 아닌가.,"['편의', '통합', '어플', '설치', '권유', '이해', '기존', '메뉴', '차치', '검색', '때', '기존', '어플', '사용', '가능', '안내', '정도']",[]
어플기획 누가했는지 모르겠는데 이렇게 하위메뉴도 많은 메뉴를 이런식으로 기획했다는게 어이없음.,"['어플', '기획', '하위', '메뉴', '메뉴', '기획']","['많다', '어이없다']"
"기획자는 신한은행, 카드를 사용하지않는 사람인가...","['기획자', '카드', '사용', '사람']",[]
잘 쓰고 있습니다.,[],[]
그런데 만보걷기 기록이 제대로 실행되지 않는 문제가 생겼습니다.,"['걷기', '기록', '실행', '문제']",[]
"알림과 신체 기록 권한, 최적화 대상 제외를 했음에도 어플을 키면 그 때만 기록되다 종료 시 다시 멈추는 데 해결법이 뭔지 알고 싶습니다.","['신체', '기록', '권한', '최적', '대상', '제외', '어플', '때', '기록', '종료', '해결', '법']",[]
"슈퍼쏠 이벤트 참여하려고 어플만 먼저 깔아놓고 가입 전이었는데 갑자기 폰에 출금알림이 와서 확인 누르니까 출금내역 확인하려면 개인정보 막 입력하라, 비번 새로 설정해라 하더니 자기 맘대로 슈퍼쏠 가입완료래요..","['슈퍼', '이벤트', '참여', '어플', '가입', '전', '폰', '출금', '알림', '확인', '출금', '내역', '확인', '개인', '정보', '입력', '비번', '새', '설정', '슈퍼', '가입', '완료']",[]
가입완료라 이벤트 참여는 아무것도 못 하게 되었고요.,"['가입', '완료', '이벤트', '참여', '아무것']",[]
고객센터 문의하기 버튼은 아예 없네요 요즘은.,"['고객', '센터', '문의', '버튼', '요즘']",['없다']
이게 뭔가요.,[],[]
신한은행 신한증권 20년째 쓰고있고 슈퍼쏠도 나올때부터 쓰고있어요.,"['증권', '슈퍼쏠', '때']",[]
통합되서 편하고 속도도 예전보다 빠른건 좋은데 증권쪽 ui는 진짜 노답임다.,"['통합', '속도', '예전', '증권', '노답']","['편하다', '빠르다', '좋다']"
머하나 하려면 허구헌날 메뉴 앞뒤 뺑뺑이에 타행으로 송금은 앱에선 왜 안됨?,"['날', '메뉴', '앞뒤', '뺑뺑이', '타행', '송금', '앱']",[]
이거 계속 쓰다 미쳐버릴거 같아서 증권은 ISA만 남기고 다 토스로 옮기고 있음...,"['증권', '토스']",['같다']
증권 UI 개선 좀 제발...,"['증권', '개선']",[]
좀 짜증나는게 저 같은 경우 쏠뱅크도 쓰는데 슈퍼쏠 알람 킨다 팝업뜰 때 안 킨다고 선택하는데도 쏠뱅 알람 꺼집니다.,"['짜증', '경우', '뱅크', '슈퍼', '알람', '팝업', '때', '선택', '뱅', '알람']",['같다']
이러면 입출금 알람이 아예 안옵니다.,"['입출금', '알람']",[]
입출금 재깍재깍 알람 안와서 곤란했던 일 너무 많아요.,"['입출금', '재깍재깍', '알람', '곤란', '일']",['많다']
요즘 피싱 등의 사고 때문에 즉각적인 입출금 알람 중요한데 다른 앱 알람끌꺼면 바로바로 오던가...,"['요즘', '사고', '입출금', '알람', '중요', '앱', '알람']",[]
어플 좀 톱항됐으면 하고 여러 개로 나뉜다고 나눠서 전문적인 것도 아니고 송금 편리성이나 앱테크용으로나 토스에 비해 많이 밀리는 편.,"['어플', '톱', '항', '전문', '송금', '편리', '앱', '테크', '토스', '편']",[]
만보기 어플 다른 어플들은 굳이 접속 안 해도 적립되는데 쏠은 접속해서 시작 눌러도 적립 안 될 때가 많은 편 토스나 카뱅에도 불만 없던 건 아닌데 신한 보면 거긴 홧병 치료될 정도,"['보기', '어플', '어플', '접속', '적립', '접속', '시작', '적립', '때', '편', '토스', '카뱅', '불만', '홧병', '치료', '정도']","['많다', '없다']"
통장 거래내역조회로 들어가면 기존에 메모 달아놓은게 안보이네요.,"['통장', '거래', '내역', '조회', '기존', '메모']",[]
메모도 입력할수 없고.,"['메모', '입력']",['없다']
알림에 들어가야 메모를 달고 볼수도있던데 비효율적인듯 합니다.,"['알림', '메모', '효율']",['있다']
"거래내역에서 한번에 보여줘야지, 메모보려고 따로 이동을 해야하는게 아주 불편합니다.","['거래', '내역', '메모', '이동', '불편']",[]
"아쉬운점이 있어 별 빼요ㅜ 전에는 통장사본 이미지로 저장 가능했는데, 슈퍼쏠은 없어요ㅠ 한참 찾다가 네이버에 검색해보니 전 어플 ""신한 쏠""?에는 있다고해서 다시 설치하고 통장사본 저장했어요...ㅜ 전에 이거 있어서 필요시에 바로바로 저장해 사용했는데, 슈퍼쏠엔 그 기능이 없어서 아쉽네요...","['점', '별', '전', '통장', '사본', '이미지', '저장', '가능', '슈퍼', '검색', '어플', '설치', '통장', '사본', '저장', '전', '필요시', '저장', '사용', '슈퍼쏠', '기능']","['없다', '있다', '있다', '없다']"
잘 쓰고 있습니다.,[],[]
예전보다 버버벅 거리는건 좋아 졌지만 카드사용알림이 오다가 안와서 설정가서 다시 해 놓아야 하는 경우가 몇번 있습니다.,"['예전', '버버', '카드', '사용', '알림', '설정', '경우']","['좋다', '있다']"
그 외에는 잘 사용 중인데 기존 신한카드앱과 새로 설치한 신한슈퍼sol..,"['사용', '기존', '앱', '설치', '신', '슈퍼']",[]
저는 카드회원이라 카드앱을 더 많이 쓰지만 가끔 sol앱에서 확인도 해야 하고 좀 복잡하네요.,"['카드', '회원', '카드', '앱', '앱', '확인']",['복잡하다']
ㅠㅜ,[],[]
카드서비스-이용금액 선결제 항목에 이용건별선결제 등의 다양한 사항도 추가해 주시기 바랍니다.,"['카드', '서비스', '이용', '금액', '선', '결제', '항목', '용건', '선', '결제', '다양', '사항', '추가']",[]
또한 계좌이체 예약도 추가해 주시고요.,"['계좌', '이체', '예약', '추가']",[]
"슈퍼솔 앱으로 통합한다고 해놓고 기존 각각의 어플에서 사용하던 모든 서비스가 통합된 것이 아니어서 기존의 신한은행 앱, 신한카드 앱도 다 사용하고 있어 너무 불편하고 짜증납니다.","['슈퍼', '솔', '앱', '통합', '기존', '각각', '어플', '사용', '서비스', '통합', '기존', '앱', '앱', '사용', '불편', '짜증']",[]
최악의 앱.,"['최악', '앱']",[]
할인 쿠폰 사용땜에 깔았는데 이후 사용하는데도 어플 자체 렉도 너무 많고 카드사용해서 결제할때마다 결제승인 알림이랑 계좌출금알림이 동시에 두번씩 알림이 와서 알림 해제하려고 어플 내에서 설정하려는데 계속 무한로딩->강제종료or서비스지연으로 홈화면으로 강제 돌려보내기 다섯번째 당하고 답답해서 삭제합니다.,"['할인', '쿠폰', '사용', '이후', '사용', '어플', '자체', '렉', '카드', '사용', '결제', '때', '결제', '승인', '알림', '계좌', '출금', '알림', '동시', '알림', '알림', '해제', '어플', '설정', '무한', '강제', '종료', '서비스', '지연', '홈', '화면', '강제', '삭제']",['많다']
어플 통합했다고 설치하라더니 카드관리 메뉴는 신한 솔 페이로 어플 이동해야 가능함.,"['어플', '통합', '설치', '카드', '관리', '메뉴', '페이', '어플', '이동', '가능']",[]
하지만 안 되죠?,[],[]
정작 솔 페이는 화면에 메뉴가 눌리지 않음.,"['정작', '솔', '페이', '화면', '메뉴']",[]
이게 뭔..,[],[]
통합을 하려면 제대로 하던가 어플로 카드 관리가 불가능함.,"['통합', '어플', '카드', '관리', '가능']",[]
최근 업데이트 되었는지 잘 사용하고 있었다고 한달전쯤부터 인가 계속 이용등록하라고 해서 동의했는데도 이미 멤버쉽 가입자라는 메세지만 뜨고 다음 화면으로 가지 않습니다 앱에 문제가 있는지 압 삭제하고 다시 설치했으나 첫째날에는 이상없이 사용하다가 다음날 되면 또 동일한문제가 발생하고 있습니다 원인이 뭔지 파악해서 개선되었음 합니다,"['업데이트', '사용', '전쯤', '이용', '등록', '동의', '멤버', '가입자', '메세지', '다음', '화면', '앱', '문제', '압', '삭제', '설치', '날', '이상', '사용', '다음', '날', '동일', '문제', '발생', '원인', '파악', '개선']",[]
개썩었어요.,['개'],[]
슈퍼솔로 바뀌기 한참 전부터 계속 썼었는데 기존에는 입출금 알림이랑 잔액 확인하기 굉장히 편했는데 업데이트하고 나니까 상단바 입출금 알림에 잔액도 더이상 안떠서 잔액 확인하려면 또 이 왕창 무거워진 앱을 굳이굳이 들어가봐야하고 진짜 비효율적이네요.,"['슈퍼', '솔', '한참', '전', '기존', '입출금', '알림', '잔액', '확인', '업데이트', '상단', '바', '입출금', '알림', '잔액', '이상', '잔액', '확인', '앱', '효율']",['편하다']
일부러 입출금 알림만 가볍게 확인하려고 냅둔거였는데 어떻게 업데이트를 하면 할 수록 더 썩어지는지...,"['입출금', '알림', '확인', '업데이트', '수록']",[]
쓰잘데기 없이 무겁기 그지없는 앱만 여러 개 늘어나고 있어서 진짜 개별로입니다.,"['쓰잘데', '앱', '개별']",['그지없다']
용량 낭비 미쳤네요.,"['용량', '낭비']",[]
이거 직원들 테스트 해보고 업데이트 하는 건가요?,"['직원', '테스트', '업데이트']",[]
전혀 아닌 것 같은데.,[],['같다']
기존 어플은 단순히 알림 기록용이었습니다.,"['기존', '어플', '알림', '기록']",[]
그러나 기능이 향상된 새 어플은 신한 그룹의 모든 일을 한 번에 처리할 수 있게 되서 편합니다.,"['기능', '향상', '어플', '그룹', '일', '처리']","['있다', '편하다']"
정말 이름 답게 '슈퍼앱'입니다.,"['이름', '슈퍼', '앱']",[]
아직 새 어플로 개선하지 않은 기존 이용자라면 이 어플은 써 볼 만한 가치가 있다는 것을 말씀드립니다.,"['어플', '개선', '기존', '이용자', '어플', '가치', '말씀']",[]
저는 어플을 잘 쓰고 있습니다.,['어플'],[]
1.,[],[]
~ 제공 화면으로 이동중입니다.,"['제공', '화면', '이동']",[]
라고 출력되는 화면이 생각보다 많이 거슬림.,"['라', '출력', '화면', '생각']",[]
"특히 뒤로가기 -> 다른메뉴 접근 하는 상황에서 반복적으로 보이는데, 나는 그냥 그 메뉴를 빠르게 접근하고 싶은거지 어디서 가져오는지 알 바가 아님..","['뒤', '메뉴', '접근', '상황', '반복', '메뉴', '접근']",['빠르다']
2.,[],[]
'카드 다음 달 결제예정 상세내용' 화면에서 이상하게 행간이 다른 화면들과 비교해 많이 넓게 느껴짐 3.,"['카드', '다음', '달', '결제', '예정', '내용', '화면', '이상', '행간', '화면', '비교']",['넓다']
신한카드 앱에서는 결제예정금액을 보는 화면에서 선결제를 위한 버튼이 바로 보이는 반면 슈퍼쏠에서는 스크롤을 내려서 신한카드 서비스 메뉴로부터 접근해야 함.,"['앱', '결제', '예정', '금액', '화면', '선', '결제', '반면', '슈퍼쏠', '스크', '롤', '서비스', '메뉴', '접근']",[]
// 앱을 하나로 줄일 수 있다는 메리트는 존재하나 여러 앱을 기워놓느라 부작용도 만만치 않음.,"['앱', '존재', '앱', '부작용']",['있다']
"토스와 같이 정보를 착착 제공하는 느낌도, 접근성도 이 앱에서는 찾아보기 어려움.","['토스', '정보', '제공', '느낌', '접근', '앱']",[]
어차피 이 앱 내에서도 서비스별 도메인 분리가 뚜렷한데 굳이 여러 대신해 이 앱을 설치하면 원하는 메뉴에 접근하기 위한 단계만 추가되지 메리트는 아직 없어보임,"['앱', '서비스', '도메인', '분리', '대신', '앱', '설치', '메뉴', '접근', '단계', '추가']",['없다']
어제 업데이트 이후 백그라운드에서 앱충돌이 지속되고 있습니다.,"['어제', '업데이트', '이후', '백', '그라운드', '앱', '충돌', '지속']",[]
체크부탁드립니다.,"['체크', '부탁']",[]
통화시에 강제종료 팝업이뜨는걸로봐서 T전화앱과의 충돌 같습니다.,"['통화', '강제', '종료', '팝업', '전화', '앱', '충돌']",['같다']
슈퍼SOL 앱의 전화권한을 해제하면 충돌없습니다.,"['슈퍼', '앱', '전화', '권한', '해제', '충돌']",['없다']
참고하세요.,[],[]
근데 전화권한은 왜 필요한거죠?,"['전화', '권한', '필요']",[]
고객센터 연결때문인가요?,"['고객', '센터', '연결']",[]
추가 아파트관리비 자동이체 변경처리를 하려다가 결국 메뉴를 못찾고 노트북을 꺼내게 되네요.,"['추가', '아파트', '관리비', '자동', '이체', '변경', '처리', '결국', '메뉴', '노트북']",[]
통합어플이 맞나요?,"['통합', '어플']",[]
전화앱과 충돌있다는 얘기드린지 일주일이 지났습니다.,"['전화', '앱', '충돌', '얘기', '일주일']",[]
패치는 없는건가요?,['패치'],['없다']
통합어플로써의 기능을 수행하지 못한다면 통합어플이라는 타이틀을 내려놔야하지 않을까 싶습니다.,"['통합', '어플', '기능', '수행', '통합', '어플', '타이틀']",[]
다시 pay어플을 깔수밖에 없네요.,['어플'],['없다']
슈퍼SOL어플의 존재이유가 뭔가요?,"['슈퍼', '어플', '존재', '이유']",[]
[결론부터 말하자면 작년보다 별로] 주로 혜택/이벤트 콘텐츠 사용 유저입니다.,"['결론', '말', '작년', '혜택', '이벤트', '콘텐츠', '사용', '유저']",[]
계속 불편해서 무엇이 문제인지 뜯어봤습니다.,"['불편', '문제']",[]
"(이슈) 예를 들어, 만보기 콘텐츠를 보겠습니다.","['이슈', '예', '콘텐츠']",[]
통합앱 슈퍼sol이 생겨 sol뱅크 앱을 지웠는데 만보걷기는 Sol뱅크로 등록해서 해당앱에서만 가능하다며 재설치하게 했습니다.,"['통합', '앱', '슈퍼', '뱅크', '앱', '뱅크', '등록', '해당', '앱', '가능', '설치']",[]
그래서 재설치했더니 거기서 다시 슈퍼sol앱 이동이 최종 도달입니다.,"['설치', '슈퍼', '앱', '이동', '최종', '도달']",[]
그럴거면 뭐하러 피곤하게 테스크를 복잡하게 만들고 뭐하러 통합앱을 만드는건지..시간 낭비하신것 같아 마음이 아픕니다.,"['피곤', '테스크', '통합', '앱', '시간', '낭비', '마음']","['복잡하다', '같다', '아프다']"
"특히나 주말에 오류, 버그가 많이 발생함에도 해당 이슈에 대한 리포트도 하기 어려운 점도 있습니다.","['주말', '오류', '버그', '발생', '해당', '이슈', '리포트']",['있다']
"(불안요소) 이를 통해 작년 대비 감소한 혜택, 복잡한 서비스 도달, 고객입장에서 자주 접할 콘텐츠를 감추거나 하단배치하는 비협조적 UI와 순서 등이 유저 입장에서 이탈할 위협 요소로 충분히 보이는 기획, 개발, 디자인의 총체적 난국이 돋보입니다.","['불안', '요소', '작년', '대비', '감소', '혜택', '서비스', '도달', '고객', '입장', '콘텐츠', '하단', '배치', '협조', '순서', '유저', '입장', '이탈', '위협', '요소', '기획', '개발', '디자인', '총체', '난국']",[]
"긴급 무더운 여름, 발열 최악 앱.","['긴급', '여름', '발열', '최악', '앱']",[]
안 그래도 더워 죽겠는데 폰 사용시 뜨거운 폰에 열 더 받게 만드는 신한 슈퍼SOL.,"['폰', '사용', '폰', '신', '슈퍼']",[]
"정말 발열 슈퍼다, 슈퍼.","['발열', '슈퍼', '슈퍼']",[]
CPU 사용 최다인 앱.,"['사용', '최다', '앱']",[]
설치해 본 앱 중 이렇게 쓸데없이 폰 성능 저하 시키는 앱은 없었다.,"['설치', '앱', '폰', '성능', '저하', '앱']",['없다']
특히 조심해야 할게 백그라운드 데이터허용을 차단해야 함.,"['조심', '그라운드', '데이터', '허용', '차단']",[]
이유는 짐작 하시겠지만 전화 통화시 잠금기능 보호모드 같은걸 작동 시키질 않나 괜시리 도청 당할 것 같은 두려움.,"['이유', '짐작', '전화', '통화', '잠금', '기능', '보호', '모드', '작동', '도청', '두려움']","['같다', '같다']"
은행 앱이라고 보안이란게 이건 그래도 아니지!,"['은행', '앱', '보안']",[]
통합앱이라고해서 이거 하나만 사용하면 기존여러개의 쏠에서 사용하던걸 앱하나에서 다 사용하려 깔았는데 만보기는 기존쏠뱅크앱에서만 사용되고 카드는 결제기능이 없는듯 하네요.,"['통합', '앱', '사용', '기존', '사용', '앱', '사용', '보기', '기존', '뱅크', '앱', '사용', '카드', '결제', '기능']",['없다']
핸드폰에 신한쏠이 너무 많아 정리하고싶은데 개선해 주세요.수퍼쏠에서도 모든게 가능하도록.,"['핸드폰', '신', '정리', '개선', '가능']",['많다']
이거 저번에 리뷰 남겼던 것 같은데..,"['저번', '리뷰']",['같다']
자산 연결 안하면 접속할 때마다 ID/PW 입력하게 만들어 놓음.,"['자산', '연결', '접속', '때', '입력']",[]
"따른 카드/은행들은 자산 연결하면 포인트도 주고 하는데, 신한만 연결 안하면 불편하게 만들어서 연결 유도함.","['카드', '은행', '자산', '연결', '포인트', '연결', '불편', '연결', '유도']",[]
진짜 나쁜 회사임.,['회사'],['나쁘다']
그래서 슈퍼SOL 나오고 신한카드 안씀.,['슈퍼'],[]
메인카드였는데 조만간 탈회 예정.,"['메인', '카드', '탈', '회', '예정']",[]
핸드폰은 6개월전에 교체하고 신한솔 어플 기기 인증 후 현재도 잘 사용하고 있었습니다.,"['핸드폰', '전', '교체', '어플', '기기', '인증', '후', '현재', '사용']",[]
오늘 권유를 받아서 신한 슈퍼 SOL 어플 설치를 진행했고요.,"['오늘', '권유', '신', '슈퍼', '어플', '설치', '진행']",[]
"최종 가입까지(인증서 발급, 패턴) 완료 후 기기 어쩌꾸 뜨더니 종료되고 다시 최초 시작 상태로 돌아갔습니다.","['최종', '가입', '인증서', '발급', '패턴', '완료', '후', '기기', '어쩌꾸', '종료', '최초', '시작', '상태']",[]
서버에서 예전 기기정보로 체크하나봅니다.,"['서버', '예전', '기기', '정보', '체크']",[]
암튼 문자로 카톡으로 가입 및 인증서 발급까지 되었다고 왔지만..,"['문자', '가입', '인증서', '발급']",[]
그래도 버그 리포트를 위해 상담사 연결해서 버그 상황은 공유드렸습니다.,"['리포트', '상담사', '연결', '버그', '상황', '공유']",[]
당장 필요한건 아니라서 지웠습니다.,['필요'],[]
나중에 문제 해결되면 다시 설치하겠습니다~,"['나중', '문제', '해결', '설치']",[]
그룹의 핵심 서비스들만 모았지만 기능을 다 제공하지는 않는다는 아래 답변보고 지웠습니다.,"['그룹', '핵심', '서비스', '기능', '제공', '아래', '답변']",[]
핵심 서비스를 모으려면 해당 서비스들 기능은 온전히 모아야지요..,"['핵심', '서비스', '해당', '서비스', '기능']",[]
"뱅킹에 그룹이체도 빼고, 대출 에는 그룹 이익만 되는 이자 내기버튼만 나와 있고 원금 상환 버튼은 그보다 3depth나 더 들어가애 나오네요?ㅋㅋㅋ 이도저도 안되는 상태로 모아놓으면 그냥 내부 실적내기용 보여주기식 앱일뿐이라 생각됩니다.","['뱅킹', '그룹', '이체', '대출', '그룹', '이익', '이자', '내기', '버튼', '원금', '상환', '버튼', '상태', '내부', '실적', '식', '앱', '생각']",[]
"신한은 쓰면 쓸수록 앱도 많아, 이름도 비직관 적(sol, play)이야..","['앱', '이름', '비', '직관']",['많다']
실망이 큽니다.,['실망'],['크다']
1.,[],[]
패턴 로그인 시 파란색으로 입력되는 패턴이 보이지 않도록 설정하는 기능이 있으면 좋을 것 같음.,"['패턴', '로그인', '시', '파란색', '입력', '패턴', '설정', '기능']","['좋다', '같다']"
‎ ‎패턴 입력 후 로그인 로딩되는 동안 패턴이 화면에 그대로 노출되어 보안에 취약함.,"['패턴', '입력', '후', '로그인', '동안', '패턴', '화면', '노출', '보안', '취약']",[]
‎ ‎ex.,[],[]
삼성 안드로이드 보안잠금 기능 중 '입력한 패턴 보이기' 기능‎ 2.,"['안드로이드', '보안', '잠금', '기능', '입력', '패턴', '기능']",[]
알림음 설정 > 시스템 알림음 으로 설정했으나 효과음#1로 고정되어 있음.,"['알림', '설정', '시스템', '알림', '음', '설정', '효과음', '고정']",[]
‎ 3.,[],[]
"이전 신한 솔 어플 알림처럼 출금은 파란색, 입금은 빨간색으로 표시되어 시인성 향상되면 좋을 것 같음.","['이전', '솔', '어플', '알림', '출금', '파란색', '입금', '색', '표시', '시인', '향상']","['좋다', '같다']"
앱 리뷰에 별 1개 처음 달아봅니다.,"['앱', '리뷰', '별', '처음']",[]
통합앱이라고 광고도 많이 하고 추천에도 계속 떠 기존앱에서 바꿨는데 '자주 사용하는 기능만 한 군데 모으려 했으나 중요한 기능은 없고 자잘한 기능만 모아 새로 만든 어플' 같은 느낌입니다.,"['통합', '앱', '광고', '추천', '기존', '앱', '사용', '기능', '중요', '기능', '기능', '어플', '느낌']","['없다', '같다']"
페이를 비롯하여 기존앱에서 사용하는게 더 편하거나 기존앱에는 있지만 통합버전에는 없는 기능도 더러있어 결국 기존앱을 다시 사용하게 되었습니다.,"['페이', '기존', '앱', '사용', '기존', '앱', '통합', '버전', '기능', '기존', '앱', '사용']","['편하다', '없다']"
기존 UI에서 기능이 불편해지고 빠진거면 통합앱이라는 취지에 맞지 않는거 아닐까요...?,"['기존', '기능', '불편', '통합', '앱', '취지']",[]
처음에는 제가 사용을 잘 못해 그런건 줄 알았는데 다른 분들도 비슷한 댓글과 그 댓글에 공감이 많은걸로 봐선 어느 정도 어플이 개선되어야 하지 않나 하는 생각이 듭니다.,"['처음', '사용', '댓글', '댓글', '공감', '정도', '어플', '개선', '생각']","['비슷하다', '많다']"
처음 실행해서 등록하는 도중에 막혀요.,"['실행', '등록', '도중']",[]
지문등록하는 창에서 진행 중이라면서 멈추고 팝업 뜬거 버튼 아무것도 안 눌립니다.,"['지문', '등록', '창', '진행', '팝업', '버튼', '아무것']",[]
어머니 폰으로도 같이 하는데 같은 데서 막혀요.,"['어머니', '폰']",['같다']
기다려도 진행은 되지 않습니다.,['진행'],[]
릴리즈하기 전에 이런 문제점을 좀 가다듬었으면 좋았을텐데 사람 짜증나게 만들어줘서 유감스럽습니다.,"['릴리즈', '전', '문제점', '사람', '짜증', '유감']",['좋다']
슈퍼쏠 로그인이 안됩니다.,['로그인'],[]
로그인을 위해 신한 인증서를 선택하면 신한은행에 로그인되고 진행이 안됩니다.,"['로그인', '신', '인증서', '선택', '로그인', '진행']",[]
수 차례 반복해도 같은 증상이고 ai챗봇은 미안하다는 답변만 있고 상담사 연결은 6~7분이 지나도 안됩니다.,"['차례', '반복', '증상', '챗봇', '미안', '답변', '상담사', '연결']",['같다']
테스트가 부족하게 출시한 느낌입니다.,"['테스트', '부족', '출시', '느낌']",[]
전화기는 lg g820n Os 버전은 안드로이드 12 입니다.,"['전화기', '버전', '안드로이드']",[]
1.,[],[]
슈퍼솔 있으면 나머지 신한앱들은 다 지워도 되면 좋겠어요.,"['슈퍼', '솔', '나머지', '앱']",['좋다']
신한앱만 4개째인데 기능들이 겹치는데 통합앱만 사용하자니 기능들이 많이 생략돼 있어요.,"['앱', '기능', '통합', '앱', '사용', '기능', '생략']",[]
전용앱이 나은 것 같아요.,"['전용', '앱']",['같다']
차이점이 궁금하네요.,['차이점'],['궁금하다']
다 통합하고 나머지는 종료해버리면 좋겠네요.,"['통합', '나머지', '종료']",['좋다']
2.,[],[]
주식거래도 일반 신한은행지점에서 가능해지나요?,"['주식', '거래', '일반', '지점', '가능']",[]
은행 지점도 브랜드 통합이 이뤄지면 좋겠어요.,"['은행', '지점', '브랜드', '통합']",['좋다']
각각 찾아다니기 불편해서요!,['불편'],[]
슈퍼솔 앱의 알림음 설정에 들어가면 '신한슈퍼SOL 앱을 업데이트해주세요'라고 하고 해당 설정에 들어가지가 않아서 나만 그런가 해서 가족 폰의 같은 앱에 들어가봤는데 똑같은 메시지가 뜹니다.,"['슈퍼', '솔', '앱', '설정', '신', '슈퍼', '앱', '업데이트', '해당', '설정', '가족', '폰', '앱', '메시지']","['같다', '똑같다']"
이미 설치한 상태에서 저런 메시지가 나오니 황당합니다.,"['설치', '상태', '메시지']",['황당하다']
